圧入管理差分データ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
ファイル名：,PIN_****,,,*には保存順が入る,,,,,,,,,,,,,,,,,,,
ファイル形式：,バイナリデータ,,,,,,,,,,,,,,,,,,,,,,
ファイル拡張子：,bin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
名称,BYTE,bit7,bit6,bit5,bit4,bit3,bit2,bit1,bit0,備考,,,,,,,,,,,,,
,,,,,,,,,,,,03,150,,,,,,,,,,
"ユニットGPS測位時刻
（時＋分＋秒）",n-30,時（ASCII) （例： '1' ）,,,,,,,,"ユニット搭載GPSの即位時刻
(例）12時34分56秒",128,,151,,,,,,,,,,
,n-29,時（ASCII) （例： '2' ）,,,,,,,,,129,,152,,,,,,,,,,
,n-28,分（ASCII) （例： '3' ）,,,,,,,,,130,,153,,,,,,,,,,
,n-27,分（ASCII) （例： '4' ）,,,,,,,,,131,,154,,,,,,,,,,
,n-26,秒（ASCII) （例： '5' ）,,,,,,,,,132,,155,,,,,,,,,,
,n-25,秒（ASCII) （例： '6' ）,,,,,,,,,133,,156,,,,,,,,,,
ユニットGPS緯度,n-24,度（ASCII) （例： '3' ）,,,,,,,,"ユニット搭載GPSの緯度情報
(例）北緯34度44.0000分",134,,157,,,,,,,,,,
,n-23,度（ASCII) （例： '4' ）,,,,,,,,,135,,158,,,,,,,,,,
,n-22,分（ASCII) （例： '4' ）,,,,,,,,,136,,159,,,,,,,,,,
,n-21,分（ASCII) （例： '4' ）,,,,,,,,,137,,160,,,,,,,,,,
,n-20,ドット '.',,,,,,,,,138,,161,,,,,,,,,,
,n-19,分（ASCII) （例： '0' ）,,,,,,,,,139,,162,,,,,,,,,,
,n-18,分（ASCII) （例： '0' ）,,,,,,,,,140,,163,,,,,,,,,,
,n-17,分（ASCII) （例： '0' ）,,,,,,,,,141,,,,,,,,,,,,
,n-16,分（ASCII) （例： '0' ）,,,,,,,,,142,,,,,,,,,,,,
,n-15, ''N'（北緯） or 'S'（南緯） （例： 'N' ）,,,,,,,,,143,,,,,,,,,,,,
ユニットGPS経度,n-14,度（ASCII) （例： '1' ）,,,,,,,,"ユニット搭載GPSの経度情報
(例）東経135度21.0000分",144,,,,,,,,,,,,
,n-13,度（ASCII) （例： '3' ）,,,,,,,,,145,,,,,,,,,,,,
,n-12,度（ASCII) （例： '5' ）,,,,,,,,,146,,,,,,,,,,,,
,n-11,分（ASCII) （例： '2' ）,,,,,,,,,147,,,,,,,,,,,,
,n-10,分（ASCII) （例： '1' ）,,,,,,,,,148,,,,,,,,,,,,
,n-9,ドット '.',,,,,,,,,149,,,,,,,,,,,,
,n-8,分（ASCII) （例： '0' ）,,,,,,,,,150,,,,,,,,,,,,
,n-7,分（ASCII) （例： '0' ）,,,,,,,,,151,,,,,,,,,,,,
,n-6,分（ASCII) （例： '0' ）,,,,,,,,,152,,,,,,,,,,,,
,n-5,分（ASCII) （例： '0' ）,,,,,,,,,153,,,,,,,,,,,,
,n-4, 'E'（東経） or 'W'（西経） （ASCII) （例： 'E' ）,,,,,,,,,154,,,,,,,,,,,,
ユニットGPS測位状態,n-3,1Byte,,,,,,,, '0'：未測位 '1'：単独測位 '2'：ディファレンシャル測位,155,,,,,,,,,,,,
ユニットGPS測位衛星数,n-2,衛星数（ASCII) 2桁目（0～1） （例： '0' ）,,,,,,,,"ユニット搭載GPSの衛星
(例）5",156,,,,,,,,,,,,
,n-1,衛星数（ASCII) 1桁目（0～9） （例： '5' ）,,,,,,,,,157,,,,,,,,,,,,
,nはデータサイズ,,,,,,,,,,,03,,,,,,,,,,,
,,部をデータの終了まで繰り返す。,,,,,,,,,,03,,,,,,,,,,,
